Title,Authors,Book_cover,Year,Price($),Reviews,Ratings
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Paperback,2011,12.49,12968,4.5
The Help,Kathryn Stockett,Paperback,2011,9.14,33000,4.7
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Paperback,2011,13.09,27813,4.6
11/22/63: A Novel,Stephen King,Hardcover,2011,19.09,3341,4.8
The Official SAT Study Guide,The College Board,Paperback,2011,1.87,1559.0,4.4
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,Hardcover,2011,8.89,43000,4.9
The Hunger Games Trilogy Boxed Set,Suzanne Collins,Hardcover,2011,53.97,47114,4.8
Cutting for Stone,Abraham Verghese,Paperback,2011,14.1,14677,4.6
Tina Fey: Bossypants,Tina Fey,Hardcover,2011,9.64,20152,4.3
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,Hardcover,2011,27.0,8290,4.4
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,Hardcover,2011,15.81,14809.0,4.3
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Paperback,2011,16.76,4966,4.7
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Paperback,2011,15.16,2262,4.7
A Stolen Life: A Memoir,Jaycee Dugard,Hardcover,2011,24.49,10746.0,4.6
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,Hardcover,2011,11.24,25133,4.6
Water for Elephants: A Novel,Sara Gruen,Paperback,2011,10.29,11718,4.5
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,Hardcover,2011,19.34,12414.0,4.6
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,Hardcover,2011,22.49,10233,4.5
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,Hardcover,2011,13.67,5454,4.6
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Paperback,2011,23.49,1762.0,4.6
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,Hardcover,2011,18.49,2828.0,4.2
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,Hardcover,2011,16.99,7433,4.7
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,Hardcover,2011,11.07,5503,4.5
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Hardcover,2011,18.29,8442,4.5
The Litigators,John Grisham,Hardcover,2011,17.3,32866,4.4
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,Hardcover,2011,22.0,2902,4.4
The Help,Kathryn Stockett,Paperback,2011,9.89,33000,4.7
"Thinking, Fast and Slow",Daniel Kahneman,Hardcover,2011,19.49,40480,4.6
The Paris Wife: A Novel,Paula McLain,Hardcover,2011,15.4,13389,4.3
Radical: Taking Back Your Faith from the American Dream,David Platt,Paperback,2011,9.36,3270,4.7
The Art of Racing in the Rain: A Novel,Garth Stein,Paperback,2011,10.78,31714,4.6
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,Paperback,2011,17.5,884,4.5
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,Paperback,2011,12.99,11195.0,4.5
"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,Paperback,2011,21.22,6462.0,4.7
What to Expect When You're Expecting,Heidi Murkoff,Paperback,2011,17.12,32903,4.8
The Best of Me,Nicholas Sparks,Hardcover,2011,19.99,16070,4.5
Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy,Jacqueline Kennedy,Hardcover,2011,24.0,762.0,4.3
The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,Paperback,2011,10.07,31485,4.5
The Greater Journey: Americans in Paris,David McCullough,Hardcover,2011,20.0,2495,4.5
Switch: How to Change Things When Change Is Hard,Chip Heath,Hardcover,2011,16.49,5549,4.6
Every Thing On It,Shel Silverstein,Hardcover,2011,11.99,1914,4.9
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,Hardcover,2011,10.65,36835,4.3
Moonwalking With Einstein: The Art and Science of Remembering Everything,Joshua Foer,Hardcover,2011,14.63,9839,4.5
The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,Paperback,2011,6.84,15462,4.4
The Help,Kathryn Stockett,Hardcover,2011,15.97,33000,4.7
1Q84: A novel,Haruki Murakami,Hardcover,2011,47.22,9183,4.4
Boomerang: Travels in the New Third World,Michael Lewis,Hardcover,2011,14.49,3302,4.4
Who Moved My Cheese,Spencer Johnson,Hardcover,2011,12.99,24699,4.6
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,Hardcover,2011,15.52,2621,4.5
Elder Scrolls V: Skyrim: Prima Official Game Guide,David Hodgson,Paperback,2011,7.8,1873.0,4.6
The Glass Castle: A Memoir (book),Jeannette Walls,Paperback,2011,9.68,39274,4.6
The Book Thief,Markus Zusak,Paperback,2011,7.83,67255,4.6
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,Hardcover,2011,13.79,25783,4.5
"Oh, the Places You'll Go!  ",Dr. Seuss,Hardcover,2011,7.49,48018,4.9
Through My Eyes,Tim Tebow,Hardcover,2011,12.34,458,4.8
The Land of Painted Caves: A Novel (Earth's Children),Jean M. Auel,Hardcover,2011,18.2,9699,4.2
"The Social Animal: The Hidden Sources of Love, Character, and Achievement",David Brooks,Hardcover,2011,17.08,1217,4.4
A Guide to the Project Management Body of Knowledge,Project Management Institute,Paperback,2011,13.0,755,4.4
Guinness World Records 2012,Guinness World Records,Hardcover,2011,14.0,511,4.5
State of Wonder,Ann Patchett,Hardcover,2011,17.62,9853,4.3
